445: 11, 11 , 13, 13 , 14, 14 , 15, 15 , 25, 25 , 40, 40 , 43, 43 , 53, 53, # 16; admiral
602: 20, 15, 25, 12, 36, 33, 40, 12, 62, 15, 75, 12, 92, 33, 30, 15, 27, 30, # 18; alpha
416: 1, 3, # 2; ambulan
592: 1, 1, # 2; androm
435: 1, 1, # 2; artict1
450: 1, 1, # 2; artict2
591: 1, 1, # 2; artict3
577: 1, 3, 8, 7, 8, 10, 8, 16, 23, 31, 40, 44, # 12; at400
485: 1, 73, 1, 74, 1, 75, 1, 76, 1, 77, 1, 78, 1, 79, # 14; baggage
568: 2, 39, 9, 39, 17, 1, 21, 1, 33, 0, 37, 0, 41, 29, 56, 29, # 16; bandito
429: 12, 12, 13, 13, 14, 14, 1, 2, 2, 1, 1, 3, 3, 1, 10, 10, # 16; banshee
433: 43, 0, # 2; barracks
511: 3, 90, 4, 90, 7, 68, 8, 66, 12, 60, 27, 97, 34, 51, 37, 51, # 16; beagle
499: 1, 1, # 2; benson
581: 54, 1, 58, 1, 66, 1, 72, 1, 75, 1, 87, 1, 101, 1, 36, 1, # 16; bf400
424: 1, 0, 2, 2, 3, 2, 3, 6, 6, 16, 15, 30, 24, 53, 35, 61, # 16; bfinject
509: 7, 1, 74, 1, 61, 1, 16, 1, 25, 1, 30, 1, 36, 1, 53, 1, # 16; bike
536: 9, 1, 12, 1, 26, 96, 30, 96, 32, 1, 37, 1, 57, 96, 71, 96, # 16; blade
496: 74, 72, 66, 72, 53, 56, 37, 19, 22, 22, 20, 20, 9, 14, 0, 0, # 16; blistac
504: 51, 39, 57, 38, 45, 29, 34, 9, 65, 9, 14, 1, 12, 9, 26, 1, # 16; bloodra
481: 1, 1, 3, 3, 6, 6, 46, 46, 65, 9, 14, 1, 12, 9, 26, 1, # 16; bmx
422: 8, 25, 11, 25, 13, 25, 15, 31, 122, 36, # 10; bobcat
609: 15, 15, 33, 33, 34, 34, 36, 36, # 8; boxburg
498: 0, 0, # 2; boxville
401: 41, 41, 47, 47, 52, 52, 66, 66, 74, 74, 87, 87, 91, 91, 113, 113, # 16; bravura
575: 12, 1, 19, 96, 31, 64, 25, 96, 38, 1, 51, 96, 57, 1, 66, 96, # 16; broadway
518: 13, 50 , 26, 50 , 62, 24 , 101, 24 , 83, 24 , 15, 26 , 81, 26 , 24, 26 , 50, 26, # 18; buccanee
402: 10, 10, 13, 13, 22, 22, 30, 30, 39, 39, 90, 90, 98, 98, 110, 110, # 16; buffalo
541: 3, 0, 21, 0, 17, 0, # 6; bullet
482: 41, 41, 48, 48, 52, 52, 64, 64, 71, 71, 85, 85, 10, 10, 62, 62, # 16; burrito
431: 71, 59, 75, 59, 92, 72, 47, 74, 55, 83, 59, 83, 71, 87, 82, 87, # 16; bus
438: 6, 76, # 2; cabbie
457: 18, 1, 32, 1, 45, 1, 13, 1, # 8; caddy
527: 52, 1, 53, 1, 66, 1, 75, 1, 76, 1, 81, 1, 95, 1, 109, 1, # 16; cadrona
548: 1, 1, # 2; cargobob
415: 14, 43 , 15, 25 , 24, 28 , 3, 40 , 30, 40 , 36, 43 , 40, 40 , 54, 36 , 87, 36, # 18; cheetah
542: 13, 118, 24, 118, 31, 93, 32, 92, 45, 92, 113, 92, 119, 113, 122, 113, # 16; clover
589: 37, 37, 31, 31, 23, 23, 22, 22, 7, 7, 124, 124, 114, 114, 112, 112, # 16; club
437: 1, 1, # 2; coach
472: 56, 15, 56, 53, # 4; coastg
480: 73, 45, 12, 12, 2, 2, 6, 6, 4, 4, 46, 46, 53, 53, # 14; comet
596: 0, 1, # 2; copcarla
597: 0, 1, # 2; copcarsf
598: 0, 1, # 2; copcarvg
599: 0, 1, # 2; copcarru
512: 17, 39, 15, 123, 32, 112, 45, 88, 52, 71, 57, 67, 61, 96, 96, 96, # 16; cropdust
578: 27, 36, 59, 36, 60, 35, 55, 41, 54, 31, 49, 23, 45, 32, 40, 29, # 16; dft30
473: 56, 15, 56, 53, # 4; dinghy
593: 51, 1, 58, 8, 60, 1, 68, 8, 2, 1, 13, 8, 22, 1, 36, 8, # 16; dodo
486: 1, 1, # 2; dozer
406: 1, 1, # 2; dumper
573: 91, 38, 115, 43, 85, 6, 79, 7, 78, 8, 77, 18, 79, 18, 86, 24, # 16; duneride
507: 37, 37, 42, 42, 53, 53, 62, 62, 7, 7, 10, 10, 11, 11, 15, 15, # 16; elegant
562: 36, 1, 35, 1, 17, 1, 11, 1, 116, 1, 113, 1, 101, 1, 92, 1, # 16; elegy
585: 13, 25 , 24, 25 , 11, 75 , 25, 36 , 36, 36 , 54, 75 , 3, 3 , 101, 101 , 50, 24, # 18; emperor
427: 0, 1, # 2; enforcer
419: 1, 1, # 2; esperant
587: 11, 11 , 13, 13 , 14, 14 , 15, 15 , 4, 4 , 25, 25 , 40, 40 , 43, 43 , 53, 53, # 18; euros
462: 12, 12, 13, 13, 14, 14, 1, 2, 2, 1, 1, 3, 3, 1, 10, 10, # 16; faggio
490: 0, 0, # 2; fbiranch
521: 119, 1, # 2; fcr900
533: 6, 1, 21, 1, # 4; feltzer
544: 3, 1, # 2; firela
407: 3, 1, # 2; firetruk
565: 37, 37, 42, 42, 53, 53, 62, 62, 7, 7, 10, 10, 11, 11, 15, 15, # 16; flash
455: 84, 15, 84, 58, 84, 31, 32, 74, 43, 31, 1, 31, 77, 31, 32, 74, # 16; flatbed
530: 110, 1, 111, 1, 112, 1, 114, 1, 119, 1, 122, 1, 4, 1, 13, 1, # 16; forklift
526: 75, 75 , 0, 0 , 1, 1 , 25, 25 , 15, 15 , 26, 26 , 36, 36, 3, 3, 91, 91, # 18; fortune
463: 79, 79, 84, 84, 7, 7, 11, 11, 19, 19, 22, 22, 36, 36, 53, 53, # 16; freeway
537: 3, 0, # 2; freight
569: 3, 0, # 2; freiflat
590: 2, 6, # 2; freibox
466: 25, 25 , 15, 25 , 18, 40 , 34, 24 , 40, 25 , 62, 25 , 54, 25 , 75, 75 , 101, 75, # 18; glendale
604: 1, 1, # 2; glenshit
492: 30, 26, 77, 26, 81, 27, 24, 55, 28, 56, 49, 59, 52, 69, 71, 107, # 16; greenwoo
474: 37, 37, 42, 42, 53, 53, 62, 62, 7, 7, 10, 10, 11, 11, 15, 15, # 16; hermes
588: 1, 1, # 2; hotdog
434: 1, 1, 12, 12, 2, 2, 6, 6, 4, 4, 46, 46, 53, 53, # 14; hotknife
502: 7, 94, 36, 88, 51, 75, 53, 75 , 58, 67, 75, 67, 75, 61, 79, 62, # 16; hotrina
503: 83, 66, 87, 74, 87, 75, 98, 83, 101, 100, 103, 101, 117, 116, 123, 36, # 16; hotrinb
494: 36, 117, 36, 13, 42, 30, 42, 33, 54, 36, 75, 79, 92, 101, 98, 109, # 16; hotring
425: 43, 0, # 2; hunter
579: 1, 1, # 2; huntley
545: 25, 36 , 24, 25 , 13, 13 , 26, 26 , 92, 92 , 8, 8 , 28, 58 , 6, 106 , 5, 5, # 18; hustler
411: 11, 11 , 13, 13 , 14, 14 , 15, 15 , 4, 4 , 25, 25 , 40, 40 , 43, 43 , 53, 53, # 18; infernus
546: 62, 37, 78, 38, 2, 62, 3, 87, 2, 78, 113, 78, 119, 62, 7, 78, # 16; intruder
559: 51, 1, 58, 8, 60, 1, 68, 8, 2, 1, 13, 8, 22, 1, 36, 8, # 16; jester
493: 36, 13, # 2; jetmax
508: 1, 1, # 2; journey
571: 2, 35, 36, 2, 51, 53, 91, 2, 11, 22, 40, 35, # 12; kart
400: 1, 1, # 2; landstal
595: 112, 20, # 2; launch
403: 1, 1, # 2; linerun
471: 120, 117, 103, 111, 120, 114, 74, 91, 120, 112, 74, 83, 120, 113, 66, 71, # 16; quad
517: 37, 36, 36, 36, 40, 36, 43, 41, 47, 41, 51, 72, 54, 75, 55, 84, # 16; majestic
510: 43, 43, 46, 46, 39, 39, 28, 28, 16, 16, 6, 6, 5, 5, 2, 2, # 16; mtbike
410: 4, 1, 9, 1, 10, 1, 25, 1, 36, 1, 40, 1, 45, 1, 84, 1, # 16; manana
484: 12, 35, 50, 32, 40, 26, 66, 36, # 8; marquis
487: 26, 14, 29, 42, 26, 57, 54, 29, 26, 3, 3, 29, 12, 39, 74, 35, # 16; maverick
551: 67, 1, 72, 1, 75, 1, 83, 1, 91, 1, 101, 1, 109, 1, 20, 1, # 16; merit
500: 75, 84, 40, 84, 40, 110, 28, 119, 25, 119, 21, 119, 13, 119, 4, 119, # 16; mesa
444: 32, 36, 32, 42, 32, 53, 32, 66, 32, 14, 32, 32, # 12; monster
556: 1, 1, # 2; monstera
557: 1, 1, # 2; monsterb
418: 4, 13 , 36, 26 , 40, 19 , 30, 15 , 75, 13 , 25, 15, # 12; moonbeam
572: 1, 1, # 2; mower
423: 1, 16, 1, 56, 1, 17, 1, 53, 1, 5, 1, 35, # 12; mrwhoop
414: 25, 1, 28, 1, 43, 1, 67, 1, 72, 1, 9, 1, 95, 1, 24, 1, # 16; mule
516: 116, 1, 119, 1, 122, 1, 4, 1, 9, 1, 24, 1, 27, 1, 36, 1, # 16; nebula
553: 38, 9, 55, 23, 61, 74, 71, 87, 91, 87, 98, 114, 102, 119, 111, 3, # 16; nevada
582: 41, 10, 41, 20, 49, 11, 56, 123, 110, 113, 112, 116, 114, 118, 119, 101, # 16; newsvan
522: 3, 3, 3, 8, 6, 25, 7, 79, 8, 82, 36, 105, 39, 106, 51, 118, # 16; nrg500
467: 51, 1, 58, 8, 60, 1, 68, 8, 2, 1, 13, 8, 22, 1, 36, 8, # 16; oceanic
443: 4, 1, 20, 1, 24, 1, 25, 1, 36, 1, 40, 1, 54, 1, 84, 1, # 16; packer
470: 43, 0, # 2; patriot
461: 36, 1, 37, 1, 43, 1, 53, 1, 61, 1, 75, 1, 79, 1, 88, 1, # 16; pcj600
404: 1, 1, 0, 0, 37, 37, 42, 42, 53, 53, 62, 62, 7, 7, 10, 10, 11, 11, # 18; peren
514: 10, 1, 25, 1, 28, 1, 36, 1, 40, 1, 54, 1, 75, 1, 113, 1, # 16; petro
584: 1, 1, # 2; petrotr
603: 58, 1, 69, 1, 75, 77, 18, 1, 32, 1, 45, 45, 13, 1, 34, 1, # 16; phoenix
600: 1, 1, # 2; picador
448: 3, 6, # 2; pizzaboy
497: 0, 1, # 2; polmav
413: 87, 1, 88, 1, 91, 1, 105, 1, 109, 1, 119, 1, 4, 1, 25, 1, # 16; pony
430: 46, 26, # 2; predator
426: 36, 8 , 25, 8 , 40, 8 , 17, 8 , 53, 8 , 75, 8 , 54, 8 , 101, 8 , 66, 8, # 18; premier
436: 4, 23 , 36, 105 , 40, 25 , 75, 36 , 43, 36 , 101, 13 , 36, 40, # 14; previon
547: 122, 1, 123, 1, 125, 1, 10, 1, 24, 1, 37, 1, 55, 1, 66, 1, # 16; primo
563: 1, 6, # 2; raindanc
489: 13, 118, 14, 123, 120, 123, 112, 120, 84, 110, 76, 102, # 12; rancher
441: 2, 96, 79, 42, 82, 54, 67, 86, 126, 96, 70, 96, 110, 54, 67, 98, # 16; rcbandit
464: 14, 75, # 2; rcbaron
465: 14, 75, # 2; rcraider
501: 14, 75, # 2; rcgoblin
515: 13, 76, 24, 77, 63, 78, 42, 76, 54, 77, 39, 78, 11, 76, 62, 77, # 16; rdtrain
453: 56, 56, # 2; reefer
479: 87, 1, 88, 1, 91, 1, 105, 1, 109, 1, 119, 1, 4, 1, 25, 1, # 16; regina
534: 37, 37, 42, 42, 53, 53, 62, 62, 7, 7, 10, 10, 11, 11, 15, 15, # 16; remingtn
432: 43, 0, # 2; rhino
505: 13, 118, 14, 123, 120, 123, 112, 120, 84, 110, 76, 102, # 12; rnchlure
442: 6, 0, 3, 0, 1, 0, # 6; romero
440: 34, 34, 32, 32, 20, 20, 110, 110, 66, 66, 84, 84, 118, 118, 121, 121, # 16; rumpo
476: 6, 7, 7, 6, 1, 6, 89, 91, 119, 117, 103, 102, 77, 87, 71, 77, # 16; rustler
475: 2, 39, 9, 39, 17, 1, 21, 1, 33, 0, 37, 0, 41, 29, 56, 29, # 16; sabre
543: 76, 8, 32, 8, 43, 8, 67, 8, 11, 11, 8, 90, 2, 2, 83, 13, # 16; sadler
605: 61, 8, 32, 8, 43, 8, 67, 8, 11, 11, 8, 90, 2, 2, 83, 13, # 16; sadlshit
468: 6, 6, 46, 46, 53, 53, 3, 3, # 8; sanchez
495: 123, 124, 119, 122, 118, 117, 116, 115, 114, 108, 101, 106, 88, 99, 5, 6, # 16; sandking
567: 97, 96, 88, 64, 90, 96, 93, 64, 97, 96, 99, 81, 102, 114, 114, 1, # 16; savanna
447: 75, 2, # 2; seaspar
428: 4, 75, # 2; securica
405: 11, 1, 24, 1, 36, 1, 40, 1, 75, 1, 91, 1, 123, 1, 4, 1, # 16; sentinel
519: 1, 1, # 2; shamal
538: 1, 1, # 2; streak
