# classes list for anderius - custom order
255, def, def, def, def,  def, def, def, def, def, def;
258, def, def, def, def,  def, def, def, def, def, def;
259, def, def, def, def,  def, def, def, def, def, def;
260, def, def, def, def,  def, def, def, def, def, def;
261, def, def, def, def,  def, def, def, def, def, def;
262, def, def, def, def,  def, def, def, def, def, def;
263, def, def, def, def,  def, def, def, def, def, def;
277, def, def, def, def,  def, def, def, def, def, def;
278, def, def, def, def,  def, def, def, def, def, def;
279, def, def, def, def,  def, def, def, def, def, def;
281, def, def, def, def,  def, def, def, def, def, def;
282, def, def, def, def,  def, def, def, def, def, def;
283, def, def, def, def,  def, def, def, def, def, def;
284, def, def, def, def,  def, def, def, def, def, def;
285, def, def, def, def,  def, def, def, def, def, def;
286, def, def, def, def,  def, def, def, def, def, def;
287, def, def, def, def,  def, def, def, def, def, def;
288, def, def, def, def,  def, def, def, def, def, def;
264, def, def, def, def,  def, def, def, def, def, def;
265, def, def, def, def,  def, def, def, def, def, def;
266, def, def, def, def,  def, def, def, def, def, def;
267, def, def, def, def,  def, def, def, def, def, def;
268, def, def, def, def,  def, def, def, def, def, def;
269, def, def, def, def,  def, def, def, def, def, def;
270, def, def, def, def,  def, def, def, def, def, def;
271, def, def, def, def,  def, def, def, def, def, def;
272, def, def, def, def,  def, def, def, def, def, def;
1, def, def, def, def,  def, def, def, def, def, def;
2, def, def, def, def,  def, def, def, def, def, def;
7, def, def, def, def,  def, def, def, def, def, def;
9, def, def, def, def,  def, def, def, def, def, def;
10, def, def, def, def,  def, def, def, def, def, def;
11, def, def, def, def,  def, def, def, def, def, def;
12, def, def, def, def,  def, def, def, def, def, def;
13, def, def, def, def,  def, def, def, def, def, def;
14, def, def, def, def,  def, def, def, def, def, def;
15, def, def, def, def,  def, def, def, def, def, def;
16, def, def, def, def,  def, def, def, def, def, def;
17, def, def, def, def,  def, def, def, def, def, def;
18, def, def, def, def,  def, def, def, def, def, def;
19, def, def, def, def,  def, def, def, def, def, def;
20, def, def, def, def,  def, def, def, def, def, def;
21, def, def, def, def,  def, def, def, def, def, def;
22, def, def, def, def,  def, def, def, def, def, def;
23, def, def, def, def,  def, def, def, def, def, def;
24, def, def, def, def,  def, def, def, def, def, def;
25, def, def, def, def,  def, def, def, def, def, def;
26, def, def, def, def,  def, def, def, def, def, def;
27, def, def, def, def,  def, def, def, def, def, def;
28, def, def, def, def,  def, def, def, def, def, def;
29, def, def, def, def,  def, def, def, def, def, def;
31, def, def, def, def,  def, def, def, def, def, def;
32, def, def, def, def,  def, def, def, def, def, def;
33, def, def, def, def,  def, def, def, def, def, def;
34, def, def, def, def,  def, def, def, def, def, def;
35, def, def, def, def,  def, def, def, def, def, def;
36, def, def, def, def,  def, def, def, def, def, def;
37, def, def, def, def,  def, def, def, def, def, def;
38, def, def, def, def,  def, def, def, def, def, def;
39, def, def, def, def,  def, def, def, def, def, def;
40, def, def, def, def,  def, def, def, def, def, def;
